Text,Cat
"I CONFESS I AM AN ADDICT!! Recently I recieved Slingo as a gift from my best friend. I had never seen or heard of this game before, but she said that it was the best game on the AOL internet and warned me that it was very addictive. I did not believe it, I thought most electronic games were basically the same. BOY WAS I WRONG!! It took me some time to learn how to play the game correctly. If you have never played Slingo before read the instruction sheet, this is one game you cannot learn just by playing with it. Once I got going it was hard for me to stop, I kept telling myself just one more game, one more! You get points by filling up the spaces on a numerical bingo card; by matching the Numbers, getting Jokers, and if you are lucky Gold Coins. You can also get Free Spins these will help you at the end of the game. Beware, with every spin you take you risk loosing half of your points to a Sneaky Little Devil with a nasty laugh. I know he is not real but sometimes I would like to reach in and strangle him. If you are very lucky and fill up all of the available spaces you get a SLINGO and bonus points. Slingo is both frustrating (the Devil) and exhilarating (getting a Slingo) it also teaches stradegy, just which number do want to pick with a Joker the right pick can make all the difference. The game has several nice features it has automatic shut off, nice sound effects that are not too loud, a mute button if you want to use it, and it keeps track of your 5 highest scores to give you something to shoot for. The only feature that I did not like was the spin numbers and symbols (Joker, Free Spin, Gold Coin, Devil) that appear at the bottom of each row, these are the numbers and symbols that you use to match those on the screen. Unlike the rest of the numbers and symbols on the screen these are not bold and can be a hard to read. BOTTOM LINE THIS IS HANDS DOWN THE BEST ELECTRONIC GAME I HAVE EVER PLAYED!!!!",electronics for kids
"If you are one of those people that collects these things, then by all means get it, because it will thrill and amaze you. For you kids, though--basically it'll just sit there, and adults you know will tell you that you shouldn't play with it, because it will be worth something someday. Whatever. Pretty durable if you decide not to listen to them. Not very educational--it doesn't espouse the virtues of peace, other than the cute little peace symbol.",stuffed animals plush
Peace is a beautiful multicolored bear. No two are alike. He is very soft and highly sought after. Both children and adults love this adorable bear.,stuffed animals plush
"I have played checkers for over a year now, and I'm quite serious about the game. I was hoping for this hand held checkers game to fine tune my skills and learn some new moves. The game is very easy to play and very easy to hold. For begining play the game is difficult. Yet for anyone that is serious about the game and has been playing for over six months the computer opponent is very easy to beat, but for kids and people wanted to learn the exciting game of checkers it is a must to have. If they come out with another hand held game that is harder to beat, I will have to buy that one.",electronics for kids
"I've used these batteries my entire life in everything from Smoke Detectors, toys, flashlights...you name it! They are the unsung heros of electronic gadgets the world over.",household supplies
"My kids have alot of fun with this spongy clay. They love mixing up new colors and creating figures that even float in the tub. I like that it doesn't have an odor and doesn't make much of a mess.One bad thing (as it is with most modeling clays)is that little pieces (like attached eyes and noses), after the figures have dried, fall off really easily. Otherwise, the figures are pretty durable.",arts crafts
"I liked the Breath Right Nasal Strips. They kept my nostrils open all night, and I have had no problem with them lasting all night. As a matter of fact, until I started taking them off in the shower, they were still very secure when morning came around. I had a difficult time peeling them off until I got them wet and soapy. I also appreciate the fact that I don't have to take drugs to keep my nose clear at night.",health care
This shaver was much better than others I have tried in the past. It didn't leave me with tiny areas of bleeding. It gives a nice smooth shave. The handle is very easy to grip while in the shower. I'd gladly recommend this product for all females in need of a new shaver.,personal care
"I play for a college soccer team, and on one of our away games one of the girls brought along extreme bop-it. The trip was almost three hours long, but because of extreme bop-it we had so much fun. We couldn't stop playing! We had a great time challenging each other, and it really helps with your eye-hand coordination too.",electronics for kids
FLIMSY FLIMSY FLIMSY! FOR THE PRICE YOU THINK THEY COULD MAKE IT A LITTLE MORE STURDY!,arts crafts
We have used this kit at our science museum in Dallas for several years. The company is reliable and the children have rarely been disappointed with their catterpillars. My own children still ask me to buy the catterpillars every year and never tire of watching the metamorphosis take place right before their eyes. I highly recommend this product for all ages and it makes a great children's birthday gift.,learning education
I bought my niece the original bounce around tigger and she loved it so when I saw this one I knew she had to have it too. And I was right she won't put it down and now she walks around singing the song Tigger and Roo sing! If you like Tigger then you'll love this toy.,stuffed animals plush
I didn't care for this product at all. It just wasn't for me. It irritated my skin and I wasn't too happy about that.,personal care
"I much prefer the taste. My husband has always used Scope, and I've avoid using it as much as possible. This new Scope is much better, and I definitely prefer it. With regular Scope and some other products I've used, I hate the taste so much that I rinse my mouth out and lose the fresh feeling that the mouthwash gives. With new Scope, I don't have to do that. I would definitely recommend it -- especially to people who are not good at tolerating strong tastes in their mouthwash.",personal care
My husband liked the fresh scent of the Zest bar. He also thought that it cleaned well. I found the bar to be drying to my skin and would prefer a body wash with moisturizers.,personal care
This would of been a good puzzle if it did not have any MISSING PIECES. Thank you,puzzles
"I'd recommend this product. In fact, I already have. It gives a very cold sensation to let you know it's working! My lips look great and feel fabulous for the day with twice-daily applications. Unfortunately, it doesn't have lasting effects. It must be applied two or three times daily. A longer effect would have been excellent. But despite the inconvenience, this is a wonderful product, far superior to anything else I have tried. I'll continue to use it.",personal care
I enjoy Slingo in the internet and purchased the hand held game for my mom. I was very disappointed with the display of the game. The numbers are very hard to read and by the time you make them out the fun is gone. Since this was my moms first experience with the game she wasn't willling to put up with the dim lighting. I had to give the game away. Can not believe other people do not find this a problem.,electronics for kids
"I liked it very much. It lubricated my face very well and rinsed very clean. It left my face feeling smooth, clean and refreshed. What I didn't like about it was the cap. It would have soap residue inside, even though it was cleaned when put away. Overall, I was very pleased and would buy more.",personal care
"I think that Opti-Free Rewetting Drops is a good product. I have very sensitive eyes and some drops that I've used sting and irritate, but I didn't have any problems with this product in that area. Although I did find that I had to keep using them in order for my eyes to remain lubricated.",personal care
"The moisturizing ability of this product was excellent. I had chapped lips when I received it and it helped right away. I did not like the mentholated ingredient, however, as I found it made my lips perspire. That's an odd way to describe it, but it was most uncomfortable. As the chapping decreased so did this problem.",personal care
"I was pleasantly surprised with the Irish Spring Deodorant Sport Soap. I have very sensitive skin and usually don't use a deodorant bath bar, thinking it will be harsh on my skin. Not so with the Irish Spring. I didn't have any skin irritation problems and I enjoyed the fresh scent. The only thing I would change about this product would be the size of the bar. It's a very large bar and if you have small hands, you might have a difficult time holding onto it in the shower. Other than the size, I would highly recommend this product.",personal care
"The EZ Dose One-Day-At-A-Time Medicine Dispenser is handy for keeping track of days and times to take medication. Each day and time span is clearly marked on each individual lid, and it also has Braille for the sight impaired. Each compartment is deep enough for holding a good amount of pills -- I would say 3-5 average-size pills comfortably. The downside is that it's difficult to snap the lids shut. One must push tightly until it snaps and it could be difficult for someone with weak hands, an impairment, or arthritis. This also holds true for returning the daily pill strip box to the weekly tray. Not as simple a task as perhaps it should be for someone who's ill.",health care
"My four-year-old daughter received the LeapPad for Christmas. The books are easy to follow, and some even have games she can play in addition to reading a story. Using a storybook and pictures, the Pad teaches her how to spell words, create her own sentences, find words that begin or end with the same sound or rhyme and completing the frogs' sentences. The pad and pen are easy to use and hard to lose. The pen is attached with a chord and the book fastens in. She refers to the pad as her own computer and takes it in the car on trips quite often.",electronics for kids
"I liked these as soon as I put them in my shoes. It even seemed like my shoes fit better. I will probably get another pair, and I've already recommended them to several of my friends.",health care
"I get my eyebrows waxed professionally every month. I found that the slanted, stainless steel tips allowed me to easily tweeze my eyebrows so I could maintain the look that I'd gotten from my salon visits. I've tried other tweezers and found these to be far superior, and would recommend them to my friends and family.",personal care
"I'd very much recommend this product. Where most products of this nature are typically very sweet, this one was not overly sugary. It's a pretty good in-between snack and great to take on the go. I took them to work and had them in the late afternoon when I usually have my cravings for sweets from the snack machines.",nutrition wellness
"This is a great product. Unlike other nutritional or supplement bars (i.e., Power Bar), it's not chewy-gooey and bland. It actually has a great taste. It does not make you feel bloated or stuffed, yet does fill you up and aids in energy. I really enjoyed this product and highly recommend it.",nutrition wellness
"I really enjoyed the Balance Bar 40-30-30, Naturally, Yogurt Honey Peanut flavor. They were better than I expected and I will definitely buy them again. I especially enjoyed the fact that much of the protein was from soy, which has many health benefits. It was an easy, delicious, and quick way for me to integrate more soy into my diet. I would recommend this product to anyone who wants a quick, healthy snack.",nutrition wellness
"I really enjoyed the Balance Bar 40-30-30, Naturally, Yogurt Honey Peanut flavor. They were better than I expected and I will definitely buy them again. I especially enjoyed the fact that much of the protein was from soy, which has many health benefits. It was an easy, delicious, and quick way for me to integrate more soy into my diet. I would recommend this product to anyone who wants a quick, healthy snack.",nutrition wellness
"I was really pleasantly surprised when I tried this product. For all the nutrients it contained I expected it to taste a bit like chocolate-flavored paneling or something comparable. It was actually great. Had a dense, yet rather moist consistency, with a very good flavor. The size is such that it's easy to carry with me on the go and could easily be slipped into a shirt or jacket pocket. I really liked to have one after a workout to give me a very nutritious boost. I imagine if one is looking for a quick, nutrition bar that in NO way skimps on flavor, this one is worth the money. I would definitely recommend this to family and friends.",nutrition wellness
"I would highly recommend these tweezers to anyone. The slanted tip on them prevents accidentally pinched skin (ouch) and also makes it SO easy to pluck out each and every eyebrow hair. I've saved a lot of time since I began using these and since I'm able to get those close hairs as well, I don't have to tweeze as often. If you do decide to purchase these, you won't regret it.",personal care
What a great surprise these bars were! I'm a hiker and have used other brands of energy bars -- most of which do the trick but taste like sawdust. The Balance Bar is moist and tasty with the added bonus of a yogurt coating. I had one for breakfast and it lasted me well into lunch with no hunger cravings. I love that they are nutritionally balanced and I will certainly take them along on my next hiking trip.,nutrition wellness
"The bars were pretty good. Not too chemical-tasting, but a typical sports bar nonetheless. Bland. Texture of cardboard but better than most in consistency. Not sticky like Power Bars. I'd recommend them if you can accept that all sports bars invariably taste like packing material. Good protein content.",nutrition wellness
"I really like Glide Dental Floss. I especially like that the floss doesn't split apart and is strong lasting. I like the way it fits perfectly through the grooves in my mouth, and the way it feels. This product is also nice because it's a simple way to help protect my teeth, and lessen the plaque when I go to the dentist.",personal care
"This is a good snack or break food. After my afternoon workout, it filled me up and gave me energy. It satisfied my craving for a sweet chocolate taste too. It had a good chewy texture and it gave my mouth a good workout, flavor, and chew. It was a bit high on the calorie range, but had all the nutrients to keep it healthy.",nutrition wellness
"My children seemed to really like them. They have a slightly different taste than what I expected. They're almost like a Fig Newton chewy. They were very filling and helped us feel that we were no longer hungry. They helped us feel more energetic. My family tried the product and the children seemed to be the most impressed, although the adults also thought that they felt more """"alive"""".",nutrition wellness
I'm very sorry but I don't know of a nice way to say this,nutrition wellness
"The Almond Brownie bar was OK. The taste was just as good as any other power-type bar that I've tried. But it wasn't something that I'd crave. I expected it to provide me with more energy, kind of like taking a vitamin. Perhaps not that day, but the next. To be honest, I didn't notice much difference in my level of energy. With the price that they charge for purchasing a power bar, I don't think I'd recommend it to friends and family. I do think that I may purchase them again for myself though.",nutrition wellness
"The Almond Brownie bar was OK. The taste was just as good as any other power-type bar that I've tried. But it wasn't something that I'd crave. I expected it to provide me with more energy, kind of like taking a vitamin. Perhaps not that day, but the next. To be honest, I didn't notice much difference in my level of energy. With the price that they charge for purchasing a power bar, I don't think I'd recommend it to friends and family. I do think that I may purchase them again for myself though.",nutrition wellness
"The Balance chocolate brownie bar with almonds was not the best tasting product out there on the market today. It was heavy and somewhat filling, but very thick, dense, and tasted bland. It really left something to be desired. It was chewy like a brownie and it sort of resembled a brownie, but upon biting into the bar, you just know it's not a brownie. After the first bite, it was kind of hard to eat. It reminded me of these terrible diet cookies that tasted as though they were filled with sawdust. It really needs more taste. Overall, I rated the brownie bar as three stars because I suppose that taste versus nutrition is a tradeoff.",nutrition wellness
"I really liked the flavor of the bars. They were a little sticky however. You need your beverage near by. The ingredients were about the same as other bars, but I felt the flavor was better! I would definitely recommend this product to people who are health minded. I hope the other flavors are as good.",nutrition wellness
"This is a very clever product. I love the idea of the window to see how much floss you have. There's nothing like going to floss, pulling out floss, and having only two inches to floss with! It's thicker than what I'm used to, therefore making it somewhat harder to get in between my teeth, but maybe I'm half-asleep and couldn't floss anyway! Being how it's thicker, there's an advantage ? it's much softer on the gums. After I floss I don't look like I've been in a fighting match with my spouse! I would definitely buy it and recommend it to anyone with sensitive gums!",personal care
I really liked this deodorant. I would highly recommend it to anyone interested in purchasing a new brand of deodorant.,personal care
"The Balance Almond Brownie Bar provides a nutritious alternative for when you need a chocolate fix. Unlike other nutritional food bars I've tried, this one pays close attention to providing not only the vitamins you need but also the minerals. Without sacrificing taste, it provides a good balance of carbohydrates, fats, and proteins. While it did taste rather good (especially compared to some of the other brands of bars I've tried that resembled flavored cardboard in taste and texture) the Almond Brownie Balance Bar is somewhat dry, though consuming it with a tall, cold glass of milk resolves this issue.",nutrition wellness
"I thought these nutrition bars were quite good. I've tried nutrition bars in the past and have always been disappointed. These bars not only tasted good, but they actually filled me up. I'm a college student and a lot of times I don't have time to stop and eat a full meal between classes. These bars were perfect for an on-the-go burst of energy. I've already recommended them to my fellow roommates and they all enjoyed these bars as well.",nutrition wellness
"The only way I can describe these bars is with the word sweet. Too sweet, in fact. They have a good taste as long as you have a real sweet tooth. They're good on the run, but unless you're used to lots of sugar in the morning, I wouldn't recommend them for breakfast. Maybe in place of dessert though.",nutrition wellness
"I feel this product was very absorbent, and I'd use it again. However, I do like the pads with wings, because my flow is very heavy, and they prevent stains. I'd use these on days my flow is lighter. I'd recommend this product to friends and family, and women who don't have extremely heavy flow.",personal care
"The taste was slightly chalky but altogether pleasing. After all, it's NOT a candy bar! Also, it would be a great idea to place a set of instructions for use in with the product. I ate one bar for breakfast and one for lunch, but I had no idea if that was a reasonable use of the product. Finally, the bars are easy to open and easy to carry in a purse or a backpack. I'll be buying more Balance Bars for my meals of the future!",nutrition wellness
I really like this nutrition bar. I've tried many nutrition bars over the years and I rate this one right in the top two or three. It's very tasty -- much like a cross between a chocolate/raspberry truffle and a 3-Musketeers bar. My kids like them too.,nutrition wellness
I really like this nutrition bar. I've tried many nutrition bars over the years and I rate this one right in the top two or three. It's very tasty -- much like a cross between a chocolate/raspberry truffle and a 3-Musketeers bar. My kids like them too.,nutrition wellness
"Very tasty, my kids loved them. They're kind of messy though -- my three year old got the other layer of yogurt covering all over himself and everything else he touched. These bars are great if you don't have time in the morning to fix a big breakfast -- just eat one of these and you're good to go 'til lunchtime.",nutrition wellness
"The Comfort Bath disposable washcloths were conveniently packaged and easy to use. The reseal feature is very useful. Each cloth was very moist and had a pleasing fragrance. The material was substantial, yet soft. I used them to bathe my sick child. I plan to use them in the future on camping trips, where bathing facilities are not easily accessible.",medical supplies equipment
"When I first tried this product, I thought that it tasted great. It tasted like a fresh breath of mint gum. But the taste soon wore off, and it started to taste like the polish that a dentist uses. I dislike the pasty taste. I guess that I'm more of a gel-type of person. It was a good performing toothpaste, effective in cleaning my teeth. If you're looking for a good toothpaste, I would recommend it, if you prefer a toothpaste to a gel.",personal care
This is an excellent product. Very comfortable and easy to use. I didn't have any discomfort adjusting to using these insoles. They make walking more comfortable.,health care
"What I liked about this product was the fresh taste. This bar was moist and you could really taste the ingredients (peanut butter and chocolate chips.) For me, the bar was very filling just by itself, but for my husband it wasn't as filling. Overall, the bar was of good quality and tasted good. I think that compared to other bars of the same nature, this one would have to be better.",nutrition wellness
"I really liked the taste of the Power Bars. They were by far the best food bars I've ever eaten. They didn't really taste like peanut butter, but the chocolate was good. They were very dense, so it was hard to eat the whole thing. I really enjoyed them a lot!",nutrition wellness
"I thought this Power Bar was great! I'm a fitness nut always looking for ways to improve my level of fitness. This will certainly be added to my shopping list. The chocolate taste was superb, and the bar was quite filling. With only four grams of fat and seven grams of protein, it was a great snack that filled me up. And I do mean filled me up. With a large glass of water, it kept me going for a couple of hours without being hungry. The texture of the bar, if you're not use to sports bars, was heavy, but that's where the """"filling"""" comes in. It lives up to its promise to being a moist and crunchy energy bar! I'd surely recommend it over other ones that I've tasted. The real chocolate really makes the bar!",nutrition wellness
"I was really impressed with this product. Always before I'd used Listerine. However, Scope had a much better taste and wasn't quite so strong. It had a nice tingle but it didn't make my mouth feel like it was burning. It also made my mouth feel a lot cleaner for a lot longer time. If I used it right before bed, I didn't wake up with bad morning breath.",personal care
I really liked this product a lot. They work great for keeping the nose from becoming sore and they're really strong as well. The Cold Care Ultra product is even better than the lotion type. It worked just as well to prevent my nose from getting sore. And you don't have to worry if you used them on the fly to wipe your glasses clean. Definitely switching to these. I give them a high 5 stars.,household supplies
"These didn't really taste the way I expected and I didn't care for them. I like peanut butter and chocolate chips, but I just didn't like them together. My son and husband both loved them, so I guess it's your preference. Maybe I will try a different flavor because I need all the energy I can get.",nutrition wellness
Depends Fitted Briefs withstood our test! We had NO nighttime leaks. Other products that we've used so far have always eventually leaked. We're pleased with this product and will recommend it to others looking for a nighttime diaper system for bigger children or adults.,health care
Wonderfully soft and thick. Nice design on the package. Will be great to use with a head cold (nice and soft on the nose).,household supplies
"For ten years this dispicably sadistic yet pretty fun puzzle has been like a laughing jock who knows you have the lowest consecutive chin-up average in the tri-classroom radius. However, after countless hours that flew by as seconds I have the dummy's solution to this mind-boggler. The 4 star fun rating I gave to the infamous Rubik's cube is indeed only if you know how to solve it, otherwise I'd say a 3 better suits it. Still alot of fun, though.",puzzles
"These have really been well received in my """"sick"""" household. They feel good on sore noses and don't break through too bad when you sneeze. Pretty box as well.",household supplies
"I really liked the taste and it did seem to make my teeth feel cleaner. It seemed to have a softer texture than regular toothpaste. I'd recommend it. However, my husband felt after a day or two of using it, his teeth felt MORE sensitive. Even just breathing in cold air seemed to bother his teeth.",personal care
"The Peanut Butter Chocolate Chip Harvest Power Bars are great! My husband and I like to use them during our bike rides. We typically ride between 30-40 miles at a time, and half way through, we like to stop and take a Power Bar break. The Power Bars are great for giving you a little bit of extra energy, plus they help if you're getting a little hungry. They're a nutritious snack and they taste great. The Harvest Bars have the texture of a granola bar. The other bars have a smooth texture, whereas these give you some crunch. It really does taste like Peanut Butter Chocolate Chip. I would definitely recommend this product to someone if they asked for a recommendation for an energy bar. Great stuff!",nutrition wellness
"I was pretty impressed with this product. It smelled great, and left my skin soft and smooth. I'll definitely buy this again.",personal care
"I found Mitchum Clear Gel Anti-Perspirant and Deodorant to be very effective at controlling both odor and wetness. This was the first time I'd used a gel instead of a solid, and I was very pleased with it. The super sport scent was also very nice. I'd recommend this item to friends and family.",personal care
"I choose this product because I help care for my elderly grandmother. This product deserves its name. She suffers with bladder control both day and night. The fit of these is great, especially in the leg area. The absorbency is excellent. She has spent a lot of restless nights having to get up and change, because of leakage and just feeling wet. This was never a problem with the Depends. She just slept through the night. I would recommend this product to everyone. They're rather costly, but you get just what you pay for and that's what really counts.",health care
"Light fresh scent and absorbs well. Protects better than some other similar products I have tried, however, longer style version would help protect underpants better. Scent is also better than other similar products I have tried. Economy pack is economical and the price that drugstore.com offers is very comparable to that of the name brand super stores.",personal care
I tried the product once and threw it away. It tasted like I was drinking alcohol with soap in it. It had a minty aftertaste but the initial taste is pretty nasty. The aftertaste was extremely strong also. I wouldn't recommend this product to anyone. I'd stick with Scope.,personal care
"I went into this thinking the Rembrandt toothpaste might not taste that great, but I found that it had a pleasing taste. I don't know if after seven days I can judge the whitening aspects of this product (which is the primary reason I would buy it). I felt like my teeth looked better, but not significantly different. I'd buy this product and give it a longer test for sure.",personal care
"I believe it kept me dry similar to other products, but there were two things that I found I disliked. First, the odor of the product was overpowering, even after an hour or two. I don't like the girly smell. Also, after applying the product, it would get on any pullover shirt. Beyond these two dislikes, I believe the product was very good and did what it was supposed to do.",personal care
"It wasn't as smelly or stingy as previous ones I've used. It worked the way it should, and made those """"slightly"""" darker hairs lighter. I would definitely use this product again and would recommend it to anyone who needs it.",personal care
"I liked this product VERY much. I liked the fact that you don't have to use a lot, and that it doesn't leave a white residue. It dries immediately, and works very well. The scent was nice without being too overpowering. I'd definitely recommend this product to friends and family.",personal care
"This is a four week program, so I'm only half way through it, but so far it seems to be working! It doesn't have a very pleasant taste, and you need to leave it in your mouth for quite a while.... but it leaves your breath fresh and seems to be showing results. So far so good!",personal care
I liked the great taste of this mouthwash. The taste wasn't really medicine-like or strong. The Scope Cool Peppermint Mouthwash left my mouth with a clean taste. I've tried other washes and I prefer the Scope because it didn't burn my mouth like others have.,personal care
"Tom's Natural Deodorant Soap does exactly what it claims to do. It has a very creamy consistency, lathers nicely, doesn't dry out your skin, and works well as a deodorant. It was labeled unscented, and indeed it was. Although I usually like unscented products, I found I missed the perfume when I bathed and I would like to try the scented variety of this soap.",personal care
"I like Reach Act Anticavity Fluoride Rinse. The taste is very good. It's not too strong, so I can actually hold it in my mouth for the recommended one minute. With some other mouthwashes that's very hard to do. I really like their measuring system -- it's very convenient. Before, I'd always put mouthwash in the cap. When I screwed it back on, the mouthwash leftovers would drip and make the bottle and sink dirty and sticky. With Reach Act there's no spillage -- plus you get the right amount every time. I'd definitely recommend it to a friend.",personal care
"I really liked the foam type floss, it makes it much more comfortable by my gums and the stiffened end helps to get under my braces. Great product.",personal care
"I really liked the conditioning ability of the shaving gel. It made for a smooth close shave with less chance of cutting myself. However, I found the scent to be overwhelming and obnoxious. I prefer a lighter scent or no scent at all. All in all, I'd recommend this product for those of us with hard-to-shave skin who enjoy more strongly scented products.",personal care
"I didn't realize that these were a men's product when I chose them, but they worked really well for me. I needed an inexpensive disposable razor (I use men's usually) for shaving my legs. These provided a surprisingly close shave and were very comfortable to use and hold. I'd highly recommend them and the price is excellent.",personal care
"This product was very good. I typically buy the lower-end mouthwashes, because they're much cheaper. But I found the Listerine to be far superior than those products.",personal care
"I really did like this gel. It worked very well for me. But one thing I didn't care for was its smell. I'd definitely buy Skintimate Shaving Gel, but not that particular scent. But I'd recommend it to anyone.",personal care
"I was pleased to try out this product and am happy to give it good reviews. I've always been influenced by the Crest name and now that they've combined all of these benefits in one (tartar protection, great tasting gel, and a neat squeeze tube), it just makes the product more appealing to a wider group of consumers. I'll be looking for this product the next time I'm shopping for toothpaste.",personal care
"I'm a college student and I found this bar to be extremely convenient. The day after I received them I woke up ten minutes before class began. I jumped out of bed, grabbed a bar, and raced towards class. The bar was incredible -- it had a sweet peanut flavor that wasn't too sweet. It had a pleasant aftertaste, unlike other bars. The bar was light but satisfying. Usually I end up eating too much and falling asleep in class. Whether it was the nutrition or the ginseng, this product was great for energy. I'd use it again and again.",nutrition wellness
This product is excellent. They helped keep my feet dry and odor free. They also added cushioning to my shoes. I'd definitely recommend them to all my friends and family.,health care
"Our little Noah (7 months) likes to use the CD Player to pound on things, so yes it is very durable. As for educational, we have learned something and that is that we need to think before we buy another thing that you CAN&quot;T turn off... At 2 am the thing will start playing by itself. He really does like it though...",electronics for kids
"These drops taste good, for a cough drop. I don't really like cough drops and these tasted too much like medicine for me. I might use them if I had a sore throat, or if I were a cough drop person, I'd probably really like these a lot.",health care
"I had Sea Monkeys as a child and loved raising them! Now, an adult, I discovered the Sea Monkeys Magic Caste on the internet! I had to have it as soon as I saw it! It is a great little kit! It comes with the aquarium and everything you need to get started. The aquarium is small but it is total fun - even for a crazy adult like me. When I told one of my co-workers about the castle she nearly screamed and had to get one too! All around it is enjoyable and it can be very educational for the kids too! Children can learn about different life cycles and how an animal like Sea Monkeys can hatch from a packet of dried crystals. This kit is a must for all Sea Monkey lovers and anyone who just wants to have fun and feel like a kid again!",learning education
"This product was so easy to use. The detailed step by step instructions were wonderful. Very clear and concise. The privacy factor was also great. For anyone wanting this test done, but wanting privacy, this is the way to go.",medical supplies equipment
"The Battle Droid looks very much like the Battle Droid in the movie. It is very durable and has many moveable parts. In fact, almost every part is moveable on the Battle Droid. There is at least 10 new parts on this Lego. You can even make it pull out its blaster which is located on the left side of his pack. The Droid even folds up like in the movie. You can make three different types of Battle Droids, Commander, Secrity, and the regular old Battle Droid.",building toys
"this is one ofthe best i have ever heard for nature-type new age music. some gentle rain, flutes, and other instruments. it expresses the gentle beauty and mustique of the forest. i reccommend it to anyone! it's also very relaxing for me and the flow of the music is very pleasing. enjoy!",health care
"It was a little weird to get used to. I wouldn't put it in my eyes in the daytime, unless I was staying home because it made my vision fuzzy when I first put it in. However, it kept my eyes feeling fresh when I woke up. Since my husband runs the ceiling fan every night, I totally dry up if I don't use this product. It's excellent. I find it enjoyable.",personal care
The Kleenex Cottonelle Ultra Soft toilet paper was very soft and I prefer the unscented paper. The two ply gave it the thickness that's needed in using the product. The double roll makes the frequency of changing the roll twice as long which gives me a longer time before I have to face replacing an empty roll. My family seem to think the toilet paper replaces itself.,household supplies
"This went on very dry. I don't feel that it kept me as dry as other brands. Also, the smell was distasteful. I don't like the lingering aerosol fumes. I'd probably not recommend this to my friends or family. I think that the solid form of it may work.",personal care
"The test was easy enough to use. However, it was messy, as the urine collection pad didn't have a cover on it. You have to place it on the table with the collection pad facing downwards (since the result window is on the other side) and that resulted in a most unhygienic and messy situation with urine on the table. I found that to be the biggest drawback. Also, reading the results wasn't easy; there's a difference between the darkness of the lines, even if you have two lines that would indicate a positive result. I think it's an average product.",health care
"After using this product daily, as directed, I really didn't notice any change.",nutrition wellness
"I do not recommend this toy. By the time your child is old enough to manipulate the tiny keys, they will find the presentation too juvenile. More importantly, the edges are dangerously sharp.",action toy figures
I really enjoyed this toy. It was alot of fun buliding it and playing with it. I liked shooting my other lego peaple with the gun.,building toys
"I found the directions very easy to follow. Nicely packaged. Quick results. We didn't really """"test"""" the accuracy since we used it on our son and it was a negative result, which we expected. Our son was very excited to try this item out to prove his innocence! Since we had a clear-cut negative, we didn't send specimen off for further testing. We'd recommend this item.",medical supplies equipment
